,id,name,lon,lat,temp,humidity,clouds,wind
1,546105,Nikolskoye,30.79,59.7,267.86,92,75,3
2,3128795,Barbastro,0.13,42.04,274.59,100,90,0.5
3,2110227,Butaritari,172.79,3.07,301.9,78,72,6.5
4,4031574,Provideniya,-173.23,64.42,252.24,83,0,6.03
5,4006387,Etchoropo,-109.67,26.77,282.61,83,0,0.89
6,485215,Synya,58.04,65.37,261.03,86,100,6.82
7,3652764,Puerto Ayora,-90.35,-0.74,295.37,90,99,0.45
8,5880568,Bethel,-161.76,60.79,245.93,68,75,2.6
9,3418910,Upernavik,-56.15,72.79,260.85,66,93,3.27
10,3026644,Souillac,-0.6,45.6,273.62,100,47,1.5
11,1733782,Victoria,115.24,5.28,303.15,79,75,3.1
12,2630299,Hofn,-15.21,64.25,278.37,88,88,0.68
13,2075265,Busselton,115.35,-33.64,295.15,38,55,8.83
14,3833367,Ushuaia,-68.31,-54.81,284.15,97,40,5.7
15,5855927,Hilo,-155.08,19.71,291.38,78,75,2.6
16,3466980,Caravelas,-39.27,-17.73,295.71,88,2,0.5
17,151211,Sola,33.8,-3.17,298.1,56,86,3.52
18,2963311,Killorglin,-9.78,52.1,281.64,94,96,4.05
19,1792087,Jiaonan,119.98,35.88,284.92,62,97,1
20,4030556,Rikitea,-134.97,-23.12,297.42,83,98,4.05
21,2175819,Biloela,150.51,-24.4,297.05,63,100,5.98
22,1736660,Kota Belud,116.43,6.35,305.08,70,75,2.6
23,3175788,Oga,10.35,46.46,271.37,57,5,4.6
24,3347353,Menongue,17.68,-14.66,294.82,83,100,0.32
25,6167817,Torbay,-52.73,47.66,272.17,92,90,4.6
26,5983720,Iqaluit,-68.52,63.75,251.32,69,90,9.3
27,3833859,Barrow,-60.23,-38.31,289.31,97,41,1.33
28,964432,Port Alfred,26.89,-33.59,293.71,92,100,1.34
29,50814,Wajid,43.25,3.81,306.03,35,93,8.89
30,4501427,Port Elizabeth,-74.98,39.31,274.15,92,1,1.76
31,2022572,Khatanga,102.47,71.98,245.33,98,100,1.19
32,4020109,Atuona,-139.03,-9.8,300.13,78,53,8.47
33,6170031,Tuktoyaktuk,-133.03,69.44,241.81,92,80,7.21
34,1273574,Vaini,74.49,15.34,301.15,54,40,4.1
35,1273294,Dwarka,77.04,28.58,286.35,62,40,2.1
36,1813029,Bayan,102.26,36.1,269.66,26,97,1.3
37,2138687,Ponerihouen,165.4,-21.08,298.81,77,100,9.7
38,5677433,Shelby,-111.86,48.51,260.45,72,1,2.39
39,1487939,Uvat,68.9,59.14,254.31,92,59,3.04
40,3440777,Rocha,-54.34,-34.48,295.21,80,62,1.75
41,5106834,Albany,-73.75,42.65,271.87,74,20,4.6
42,1015776,Bredasdorp,20.04,-34.53,294.93,60,95,7.7
43,2737599,Saldanha,-6.55,41.42,278.84,54,0,0.8
44,3146487,Raudeberg,5.14,61.99,283.04,93,100,12.9
45,286621,Salalah,54.1,17.01,302.15,51,75,1
46,1648186,Bontang,117.47,0.12,302.05,75,49,4.41
47,5849297,Kihei,-156.45,20.76,293.62,83,1,1.5
48,4407665,Kodiak,-94.76,39.95,283.13,87,75,9.3
49,262462,Saint George,22.34,39.45,278.15,48,20,7.7
50,2017155,Saskylakh,114.09,71.97,238.87,95,12,4.23
51,2175403,Bluff,149.07,-23.58,300.53,43,61,7.1
52,2653192,Chichester,-0.78,50.84,280.2,81,75,1
53,2293260,Agnibilekrou,-3.2,7.13,302.05,45,71,0.28
54,2163355,Hobart,147.33,-42.88,291.76,72,75,7.7
55,2339937,Auki,6.51,12.18,295.5,16,0,7.94
56,2016216,Sosnovo-Ozerskoye,111.54,52.53,245.99,97,57,3.75
57,3137469,Sorland,12.69,67.67,280.19,90,100,9.14
58,525426,Sobolevo,31.9,54.43,269.32,78,100,3.19
59,3471451,Arraial do Cabo,-42.02,-22.97,296.88,88,20,4.84
60,1171123,Mandi Bahauddin,73.49,32.58,290.77,20,49,1.5
61,1847947,Shingu,135.99,33.72,285.15,62,75,1.5
62,3119841,Beira,-8.36,43.2,275.61,67,0,2.6
63,3874787,Punta Arenas,-70.91,-53.16,282.1,66,20,15.4
64,1651810,Airai,125.41,-8.93,296.15,91,93,0.58
65,5313135,Sonoita,-110.66,31.68,272.42,68,1,3.6
66,1630662,Praya,116.27,-8.71,299.15,88,75,2.6
67,1507390,Dikson,80.55,73.51,245.86,90,10,10.06
68,1281256,Gamba,88.52,28.28,267.58,7,0,2.33
69,5848280,Kapaa,-159.32,22.08,295.54,94,75,3.1
70,3289093,Kacuni,17.94,44.06,271.01,86,90,2.6
71,3467400,Sao Francisco,-53.85,-25.65,296.65,88,1,2.1
72,1214965,Kabanjahe,98.49,3.1,302.15,74,40,3.1
73,1045114,Inhambane,35.38,-23.87,301.15,69,75,3.1
74,3421765,Nanortalik,-45.24,60.14,272.19,80,100,8.51
75,2318123,Yenagoa,6.26,4.92,304.58,35,90,2.03
76,2123814,Leningradskiy,178.42,69.38,250.56,89,100,4.74
77,3421719,Narsaq,-46.05,60.91,270.15,86,100,1
78,3896218,Castro,-73.76,-42.48,280.15,100,99,3.1
79,3625929,Tucupita,-62.05,9.06,294.45,98,100,0.54
80,425378,Matara,29.48,-3.48,296.15,88,75,1.66
81,1648082,Boyolangu,111.9,-8.09,302.1,75,81,3.16
82,1006984,East London,27.91,-33.02,293.15,94,20,3.1
83,5354943,Half Moon Bay,-122.43,37.46,280.22,87,1,4.17
84,3366880,Hermanus,19.24,-34.42,297.42,76,4,4.92
85,3220813,Wanning,13.53,48.64,268.03,92,20,1
86,2191562,Dunedin,170.5,-45.87,287.59,84,100,0.45
87,3372707,Ribeira Grande,-28.7,38.52,284.15,81,20,2.6
88,2071860,Esperance,121.89,-33.86,300.15,47,0,8.2
89,3863379,Mar del Plata,-67.52,-46.43,288.4,50,0,6.65
90,146639,Lasa,32.53,34.92,286.96,82,40,2.1
91,6138908,Saint-Philippe,-73.48,45.36,271.87,92,1,2.52
92,157429,Kilindoni,39.67,-7.91,301.74,79,100,6.72
93,4470244,Havelock,-76.9,34.88,286.66,87,90,1.5
94,6185377,Yellowknife,-114.38,62.45,253.15,83,90,5.7
95,700019,Burevestnik,34.65,45.45,278.9,75,100,4.07
96,147425,Neftcala,49.25,39.37,283.15,79,75,2.44
97,5887798,Assiniboia,-105.99,49.63,261.24,93,0,1.82
98,6089245,Norman Wells,-126.83,65.28,244.15,75,75,6.7
99,1865309,Katsuura,134.5,33.93,282.17,57,75,1
100,3985710,Cabo San Lucas,-109.91,22.89,286.94,72,75,2.1
101,6165406,Thompson,-97.86,55.74,257.15,84,90,2.1
102,1266668,Khonsa,95.51,26.99,289.79,63,0,1.56
103,2447513,Arlit,7.39,18.74,294.35,16,0,3.33
104,3894426,Coihaique,-72.07,-45.58,281.15,81,20,2.6
105,1516905,Taraz,71.39,42.89,278.38,54,90,3
106,2063036,Port Lincoln,135.86,-34.72,299.17,45,0,3.12
107,2069194,Jamestown,138.6,-33.21,304.07,28,47,3.3
108,584051,Svetlogorsk,59.15,53.14,262.15,78,90,6
109,986717,Kruisfontein,24.73,-34,294.45,74,100,6.26
110,1713986,Surok,125.42,11.63,299.81,71,0,4.42
111,3437029,San Patricio,-56.83,-26.98,298.08,66,0,1.1
112,6201424,Mataura,168.86,-46.19,287.59,87,100,8.94
113,2126123,Chokurdakh,147.9,70.62,236.5,90,0,3.23
114,2155415,New Norfolk,147.06,-42.78,291.74,72,75,7.7
115,6096551,Pangnirtung,-65.72,66.15,248.86,88,48,1.36
116,964090,Prieska,22.74,-29.67,303.87,23,76,7.85
117,5952370,Fernie,-115.06,49.5,266.15,85,90,2.1
118,2123100,Myaundzha,147.18,63.05,241.92,93,26,1.61
119,2240449,Luanda,13.24,-8.83,302.15,70,75,1
120,1519385,Sergeyevka,67.42,53.88,258.78,94,100,5.37
121,2138522,Poya,165.16,-21.35,298.72,80,1,10.53
122,2071059,Gawler,138.75,-34.6,307.42,27,20,4.6
123,2138285,Tadine,167.88,-21.55,297.25,79,43,7.91
124,3698359,Chicama,-79.15,-7.84,293.15,88,75,3.1
125,3369157,Cape Town,18.42,-33.93,298.58,36,0,1.5
126,1018725,Bloemfontein,26.22,-29.12,292.15,88,75,3.1
127,4372777,Vardo,-77.74,39.62,278.59,80,1,2.1
128,1650064,Barabai,115.38,-2.59,303.98,66,60,0.81
129,1082243,Ambilobe,49.05,-13.19,301.97,76,100,3.96
130,1486910,Komsomolskiy,63.78,67.55,261.91,93,100,9.88
131,7626370,Bud,6.91,62.91,280.92,87,100,1
132,3443061,Chuy,-53.46,-33.69,294.83,88,100,1.15
133,1106643,Quatre Cocos,57.76,-20.21,299.41,94,75,6.2
134,6113406,Prince Rupert,-130.32,54.32,280.15,87,75,5.1
135,2077895,Alice Springs,133.88,-23.7,315.15,11,67,3.6
136,3379316,Lethem,-59.8,3.38,297.5,80,44,5.11
137,4267710,Sitka,-99.65,37.17,272.59,86,0,7.15
138,1171502,Mailsi,72.18,29.8,292.11,10,0,2.75
139,3147822,Gravdal,5.78,59.79,282.44,93,75,10.3
140,3536729,Santiago de Cuba,-75.83,20.03,294.74,83,20,2.6
141,1078553,Ampanihy,44.75,-24.69,312.29,27,0,0.49
142,3831208,Qaanaaq,-69.36,77.48,257.52,62,100,7.46
143,3386213,Touros,-35.46,-5.2,296.15,94,20,2.1
144,2028164,Deputatskiy,139.9,69.3,239.6,80,0,1.51
145,3378644,Georgetown,-58.16,6.8,296.15,100,40,2.1
146,2094342,Kavieng,150.8,-2.57,302.13,73,84,4.65
147,3899695,Ancud,-73.83,-41.87,280.15,100,67,3.1
148,4035715,Avarua,-159.78,-21.21,298.15,78,100,4.1
149,2450173,Taoudenni,-3.98,22.68,292.27,16,0,3.59
150,588365,Vao,26.19,59.1,269.27,81,32,3.93
151,480716,Georgiyevskoye,39.25,44.16,280.56,64,100,1.66
152,246008,Wadi Musa,35.48,30.32,282.98,49,0,1.8
153,3448455,Sao Miguel do Araguaia,-50.16,-13.28,294.94,98,100,0.58
154,2012956,Yerbogachen,108.01,61.28,243.83,91,100,5.1
155,3573374,The Valley,-63.06,18.22,298.15,88,20,2.1
156,5367788,Lompoc,-120.46,34.64,278.73,87,1,1.5
157,3354077,Opuwo,13.84,-18.06,302.11,29,95,4.2
158,2381334,Atar,-13.05,20.52,293.38,13,0,6.54
159,6620339,Karratha,116.85,-20.74,303.2,79,49,9.97
160,3172402,Nago,10.89,45.88,272.96,92,0,2.6
161,2112802,Hasaki,140.83,35.73,280.21,52,40,1.5
162,2121025,Srednekolymsk,153.71,67.46,240.7,94,100,2.73
163,3947322,Junin,-71.58,-16.45,285.15,76,100,1
164,2064550,Northam,116.67,-31.65,297.86,47,90,8.2
165,504717,Filimonovo,39.6,54.21,269.26,88,75,3.26
166,6324729,Halifax,-63.58,44.65,273.43,77,90,5.1
167,3453439,Ponta do Sol,-46,-20.63,291.13,95,65,0.52
168,1269106,Jawhar,73.23,19.91,303.3,37,85,3.34
169,1643837,Gorontalo,123.06,0.54,300.94,79,54,1.73
170,2158744,Margate,147.26,-43.03,291.75,72,75,7.7
171,2092164,Lorengau,147.27,-2.02,302.17,69,81,3.03
172,286245,Sur,59.53,22.57,296.45,63,37,4.01
173,2152659,Port Macquarie,152.91,-31.43,300.4,40,0,8.2
174,1056899,Sambava,50.17,-14.27,305.68,48,100,2.04
175,5924351,Clyde River,-68.59,70.47,251.15,76,75,1.5
176,60019,Eyl,49.82,7.98,300,80,15,8.83
177,2803461,Marienburg,9.98,52.12,270.39,92,55,0.5
178,1241622,Wattegama,80.68,7.35,303.26,44,100,2.88
179,2122090,Pevek,170.27,69.7,249.9,93,100,4.57
180,1516438,Zyryanovsk,84.27,49.74,260.91,53,100,0.78
181,787487,Poum,20.71,41.28,271.15,63,20,1.5
182,2514651,Los Llanos de Aridane,-17.92,28.66,292.61,28,100,2.6
183,3676604,Rosarito,-75.23,4.91,291.81,89,90,1.63
184,3573739,San Fernando,-61.46,10.28,296.38,94,75,3.62
185,6355222,Yulara,130.99,-25.24,314.15,12,81,2.6
186,1785036,Zhangye,100.46,38.94,270,38,91,1.28
187,2122614,Okha,142.95,53.59,254.94,96,100,9.71
188,2267254,Lagoa,-8.45,37.14,285.82,87,0,4.6
189,2122605,Okhotsk,143.24,59.36,259.08,73,100,3.41
190,2037485,Erenhot,111.97,43.65,256.72,73,92,8.07
191,6255012,Flinders,150.85,-34.58,297.42,61,75,3.1
192,2644487,Lincoln,-0.54,53.23,280.16,93,90,5.1
193,778707,Mehamn,27.85,71.03,275.53,96,100,14.47
194,3654541,Macas,-78.12,-2.3,290.38,97,80,0.66
195,1576633,Lang Son,106.73,21.83,294.81,64,40,2.64
196,544084,Koslan,48.9,63.46,261.32,86,99,4.16
197,2455290,Kidal,1.41,18.44,294.66,15,0,6.12
198,4281897,Winfield,-97,37.24,277.75,86,90,6.2
199,1490256,Talnakh,88.39,69.49,244.15,75,94,3
200,934517,Flic en Flac,57.36,-20.27,299.43,94,75,6.2
201,1014034,Carnarvon,22.13,-30.97,303.54,21,67,9.83
202,1254709,Tezu,96.16,27.93,294.03,26,0,0.98
203,4273299,Hutchinson,-97.93,38.06,276.61,93,90,6.2
204,1337610,Thinadhoo,72.93,0.53,301.34,78,100,4.79
205,3984717,Santa Ana,-111.12,30.54,276.84,73,0,1.06
206,6693679,Gizo,34.94,31.8,288.53,48,0,6.2
207,3355672,Luderitz,15.16,-26.65,295.15,56,36,4.6
208,1503796,Khandagayty,92.07,50.73,248.91,97,100,0.53
209,2684653,Oxelosund,17.1,58.67,273.47,74,75,4.6
210,6111862,Port Hardy,-127.42,50.7,280.15,87,75,10.8
211,3939761,Hualmay,-77.61,-11.1,292.5,82,100,0.86
212,3721313,Marigot,-72.32,18.23,295.15,88,0,2.6
213,2178753,Kirakira,161.92,-10.46,298.67,85,10,1.72
214,73560,Lahij,44.88,13.06,302.51,49,0,4.4
215,3382226,Camopi,-52.33,3.17,294.47,99,46,1.06
216,50672,Wanlaweyn,44.89,2.62,307.63,40,98,8.84
217,1282256,Hithadhoo,73.08,-0.6,300.87,76,92,3.25
218,2014038,Ushumun,126.54,52.78,241.63,95,0,2.3
219,2164771,Grafton,152.93,-29.69,299.8,48,0,5.1
220,1626932,Singaraja,115.08,-8.11,302.83,68,0,1.28
221,1013076,Colesberg,25.1,-30.72,295.94,47,100,5.32
222,545673,Konakovo,36.78,56.71,268.49,73,100,1.39
223,5972762,Hay River,-115.79,60.82,254.15,77,90,7.7
224,3374210,Sao Filipe,-24.5,14.9,295.25,67,21,6.04
225,6539761,Rome,12.48,41.89,277.04,55,0,1.5
226,5895424,Bay Roberts,-53.28,47.58,272.17,92,90,4.6
227,4500920,Brigantine,-74.36,39.41,274.43,85,1,1.42
228,1171965,Lodhran,71.63,29.54,292.42,12,0,2.83
229,2126682,Bilibino,166.44,68.06,246.95,57,90,1.33
230,2337542,Naze,7.07,5.43,292.15,82,75,3.03
231,1244926,Hambantota,81.12,6.12,304.15,62,40,5.7
232,1641899,Labuhan,115.51,-2.54,303.98,66,60,0.81
233,3031871,Veraval,0.71,49.65,273.37,84,100,3.6
234,178093,Witu,40.44,-2.39,303.15,70,1,3.66
235,5856516,Ahuimanu,-157.84,21.44,296.63,78,75,3.1
236,3970634,Cardenas,-110.24,27.62,279.82,88,0,0.89
237,3420846,Qaqortoq,-46.03,60.72,270.15,86,100,1
238,2334327,Kishi,3.85,9.08,299.61,13,0,3.3
239,5960603,Geraldton,-86.95,49.72,265.15,85,90,4.1
240,3580733,Bodden Town,-81.25,19.28,299.26,77,0,2.24
241,1242833,Chavakachcheri,80.16,9.66,300.47,74,3,5.42
242,705104,Rozkishne,37.59,48.5,276.47,78,94,1.78
243,2122574,Ola,151.3,59.58,258.66,65,100,4.36
244,1581349,Ha Giang,104.99,22.83,289.1,83,98,1.57
245,5380437,Pacific Grove,-121.92,36.62,278.56,86,1,4.48
246,2212775,Sabha,14.43,27.03,285.43,61,0,4.93
247,3380290,Sinnamary,-52.96,5.38,299.62,76,1,7
248,2015306,Tiksi,128.87,71.64,241.4,85,100,3.66
249,70979,Sayyan,44.32,15.17,291.41,22,0,2.5
250,88319,Benghazi,20.07,32.12,286.71,59,65,9.06
251,226853,Paidha,30.99,2.42,299.68,29,7,3.14
252,5488441,Roswell,-104.52,33.39,276.16,55,90,1.5
253,4014875,Tenango,-100.67,20.53,286.65,58,40,7.7
254,3943626,Chivay,-71.6,-15.64,277.33,65,81,1.29
255,3395981,Maceio,-35.74,-9.67,297.15,88,20,1
256,3118304,Llanes,-4.75,43.42,282.04,10,0,3.82
257,569359,Cherdyn,56.48,60.4,255.96,85,0,1.36
258,2121385,Severo-Kurilsk,156.12,50.68,269.4,91,100,11.57
259,2022083,Alekseyevsk,108.35,57.84,239.53,96,0,1.7
260,4951594,Southbridge,-72.03,42.08,272.82,74,1,4.6
261,3452992,Porecatu,-51.38,-22.75,297.46,88,100,5.57
262,3022826,Coutances,-1.45,49.05,278.21,93,75,4.1
263,4031637,Lavrentiya,-170.99,65.58,250.81,90,0,3.25
264,1633419,Padang,100.36,-0.92,297.54,93,83,0.98
265,5593814,Garden City,-116.24,43.62,271.94,80,90,3.1
266,504269,Pudozh,36.54,61.81,265.87,82,61,4.41
267,2647984,Great Yarmouth,1.73,52.61,279.02,93,100,4.6
268,5849996,Lahaina,-156.68,20.87,293.7,83,1,1.5
269,2063039,Port Keats,129.55,-14.25,304.98,63,74,5.15
270,3578351,Terre-de-Bas,-61.64,15.85,294.15,94,46,3.54
271,2654332,Buncrana,-7.45,55.14,282.9,79,100,7.52
272,2122104,Petropavlovsk-Kamchatskiy,158.65,53.05,267.15,53,100,4
273,3663517,Manaus,-59.98,-3.13,298.15,100,75,1.5
274,3664980,Boa Vista,-60.67,2.82,298.15,88,93,3.1
275,1504382,Kargasok,80.87,59.06,253.52,91,100,1.78
276,2511180,Santa Cruz de la Palma,-17.76,28.68,292.58,28,100,2.6
277,2022773,Khandyga,135.58,62.65,234.93,99,100,0.98
278,3451138,Rio Grande,-52.1,-32.03,296.48,95,59,1.81
279,1493162,Salym,71.48,60.06,250.91,95,0,2.03
280,3374083,Bathsheba,-59.52,13.22,299.15,74,40,5.7
281,2194098,Ahipara,173.16,-35.17,289.89,74,0,7.23
282,5962442,Goderich,-81.71,43.74,273.78,83,68,3.13
283,1692685,Puerto Princesa,118.73,9.74,303.15,62,75,4.1
284,1215350,Bireun,96.7,5.2,296.1,91,99,1.48
285,6320062,Vila Velha,-38.6,-3.71,301.06,78,75,4.6
286,3372783,Ponta Delgada,-25.67,37.73,288.15,93,75,5.7
287,2335713,Matagami,8.4,9.67,302.98,15,0,0.77
288,2160063,Codrington,153.24,-28.95,297.68,57,0,6.2
289,2961459,Skibbereen,-9.27,51.55,282.15,100,75,7.2
290,4975802,Portland,-70.25,43.66,272.38,68,1,11.63
291,3403687,Camocim,-40.84,-2.9,296.24,91,92,2.33
